Date,TAIEX,00631L,0056,00878
2009-04-29,5614.03466796875,,17.1299991607666,
2009-04-30,5992.5419921875,,18.31999969482422,
2009-05-04,6330.3701171875,,19.600000381469727,
2009-05-05,6379.91015625,,19.100000381469727,
2009-05-06,6566.669921875,,19.549999237060547,
2009-05-07,6572.83984375,,19.989999771118164,
2009-05-08,6583.83984375,,19.950000762939453,
2009-05-11,6647.46923828125,,20.219999313354492,
2009-05-12,6432.52001953125,,19.360000610351562,
2009-05-13,6485.1103515625,,19.600000381469727,
2009-05-14,6364.14013671875,,19.309999465942383,
2009-05-15,6489.0595703125,,19.600000381469727,
2009-05-18,6577.77978515625,,19.81999969482422,
2009-05-19,6655.55908203125,,19.8799991607666,
2009-05-20,6703.5888671875,,19.979999542236328,
2009-05-21,6718.77880859375,,19.989999771118164,
2009-05-22,6737.2587890625,,19.959999084472656,
2009-05-25,6734.4287109375,,20.059999465942383,
2009-05-26,6683.07861328125,,19.8700008392334,
2009-05-27,6890.408203125,,20.40999984741211,
2009-06-01,6954.068359375,,20.549999237060547,
2009-06-02,6949.04833984375,,20.649999618530273,
2009-06-03,6893.1083984375,,20.520000457763672,
2009-06-04,6786.02880859375,,20.3799991607666,
2009-06-05,6767.06884765625,,20.389999389648438,
2009-06-08,6627.9892578125,,19.899999618530273,
2009-06-09,6414.3603515625,,19.149999618530273,
2009-06-10,6462.240234375,,19.260000228881836,
2009-06-11,6567.33984375,,19.520000457763672,
2009-06-12,6448.2001953125,,19.450000762939453,
2009-06-15,6225.53125,,18.610000610351562,
2009-06-16,6220.78125,,18.700000762939453,
2009-06-17,6195.88134765625,,18.670000076293945,
2009-06-18,6144.5009765625,,18.489999771118164,
2009-06-19,6231.12109375,,18.770000457763672,
2009-06-22,6341.18017578125,,18.959999084472656,
2009-06-23,6197.44140625,,18.700000762939453,
2009-06-24,6380.05029296875,,19.049999237060547,
2009-06-25,6457.580078125,,19.329999923706055,
2009-06-26,6463.5302734375,,19.450000762939453,
2009-06-29,6391.1201171875,,19.31999969482422,
2009-06-30,6432.13037109375,,19.260000228881836,
2009-07-01,6578.93994140625,,19.6200008392334,
2009-07-02,6667.4990234375,,19.899999618530273,
2009-07-03,6665.369140625,,20.100000381469727,
2009-07-06,6649.87939453125,,20.110000610351562,
2009-07-07,6715.18896484375,,20.260000228881836,
2009-07-08,6668.109375,,20.25,
2009-07-09,6748.14892578125,,20.420000076293945,
2009-07-10,6769.82861328125,,20.5,
2009-07-13,6530.78955078125,,19.860000610351562,
2009-07-14,6639.37939453125,,20.200000762939453,
2009-07-15,6738.56884765625,,20.799999237060547,
2009-07-16,6780.2685546875,,20.899999618530273,
2009-07-17,6850.95849609375,,21.040000915527344,
2009-07-20,6938.828125,,21.34000015258789,
2009-07-21,6953.30810546875,,21.489999771118164,
2009-07-22,6985.2880859375,,21.559999465942383,
2009-07-23,6980.84814453125,,21.530000686645508,
2009-07-24,6973.248046875,,21.600000381469727,
2009-07-27,7028.3984375,,21.75,
2009-07-28,7142.59716796875,,22.149999618530273,
2009-07-29,7083.59765625,,22.049999237060547,
2009-07-30,7027.078125,,22.0,
2009-07-31,7077.677734375,,22.0,
2009-08-03,7056.67822265625,,22.139999389648438,
2009-08-04,6955.83837890625,,21.799999237060547,
2009-08-05,6848.20849609375,,21.549999237060547,
2009-08-06,6868.6181640625,,21.5,
2009-08-10,6882.83837890625,,21.6200008392334,
2009-08-11,6908.98828125,,21.719999313354492,
